asset_id,department_id,corridor_id,asset_type,asset_reference,location,criticality,status
AST0001,DPT001,SEC001,Track,TRA-SEC001-01,KM marker near SBC-YPR,2,Active
AST0002,DPT001,SEC001,Track,TRA-SEC001-02,KM marker near SBC-YPR,2,Active
AST0003,DPT002,SEC001,Signal,SIG-SEC001-01,KM marker near SBC-YPR,5,Active
AST0004,DPT002,SEC001,Signal,SIG-SEC001-02,KM marker near SBC-YPR,3,Active
AST0005,DPT003,SEC001,OHE,OHE-SEC001-01,KM marker near SBC-YPR,3,Active
AST0006,DPT003,SEC001,OHE,OHE-SEC001-02,KM marker near SBC-YPR,4,Active
AST0007,DPT003,SEC001,OHE,OHE-SEC001-03,KM marker near SBC-YPR,3,Active
AST0008,DPT001,SEC002,Track,TRA-SEC002-01,KM marker near YPR-KJM,1,Active
AST0009,DPT001,SEC002,Track,TRA-SEC002-02,KM marker near YPR-KJM,5,Active
AST0010,DPT002,SEC002,Signal,SIG-SEC002-01,KM marker near YPR-KJM,2,Active
AST0011,DPT002,SEC002,Signal,SIG-SEC002-02,KM marker near YPR-KJM,3,Active
AST0012,DPT002,SEC002,Signal,SIG-SEC002-03,KM marker near YPR-KJM,2,Active
AST0013,DPT003,SEC002,OHE,OHE-SEC002-01,KM marker near YPR-KJM,4,Active
AST0014,DPT003,SEC002,OHE,OHE-SEC002-02,KM marker near YPR-KJM,1,Active
AST0015,DPT003,SEC002,OHE,OHE-SEC002-03,KM marker near YPR-KJM,1,Active
AST0016,DPT001,SEC003,Track,TRA-SEC003-01,KM marker near KJM-BNC,3,Active
AST0017,DPT001,SEC003,Track,TRA-SEC003-02,KM marker near KJM-BNC,3,Active
AST0018,DPT001,SEC003,Track,TRA-SEC003-03,KM marker near KJM-BNC,5,Active
AST0019,DPT002,SEC003,Signal,SIG-SEC003-01,KM marker near KJM-BNC,5,Active
AST0020,DPT002,SEC003,Signal,SIG-SEC003-02,KM marker near KJM-BNC,4,Active
AST0021,DPT002,SEC003,Signal,SIG-SEC003-03,KM marker near KJM-BNC,1,Active
AST0022,DPT003,SEC003,OHE,OHE-SEC003-01,KM marker near KJM-BNC,3,Active
AST0023,DPT003,SEC003,OHE,OHE-SEC003-02,KM marker near KJM-BNC,4,Active
AST0024,DPT001,SEC004,Track,TRA-SEC004-01,KM marker near BNC-WFD,1,Active
AST0025,DPT001,SEC004,Track,TRA-SEC004-02,KM marker near BNC-WFD,3,Active
AST0026,DPT002,SEC004,Signal,SIG-SEC004-01,KM marker near BNC-WFD,3,Active
AST0027,DPT002,SEC004,Signal,SIG-SEC004-02,KM marker near BNC-WFD,4,Active
AST0028,DPT002,SEC004,Signal,SIG-SEC004-03,KM marker near BNC-WFD,3,Active
AST0029,DPT003,SEC004,OHE,OHE-SEC004-01,KM marker near BNC-WFD,4,Active
AST0030,DPT003,SEC004,OHE,OHE-SEC004-02,KM marker near BNC-WFD,3,Active
AST0031,DPT001,SEC005,Track,TRA-SEC005-01,KM marker near WFD-BYPL,5,Active
AST0032,DPT001,SEC005,Track,TRA-SEC005-02,KM marker near WFD-BYPL,1,Active
AST0033,DPT002,SEC005,Signal,SIG-SEC005-01,KM marker near WFD-BYPL,1,Active
AST0034,DPT002,SEC005,Signal,SIG-SEC005-02,KM marker near WFD-BYPL,2,Active
AST0035,DPT002,SEC005,Signal,SIG-SEC005-03,KM marker near WFD-BYPL,3,Active
AST0036,DPT003,SEC005,OHE,OHE-SEC005-01,KM marker near WFD-BYPL,2,Active
AST0037,DPT003,SEC005,OHE,OHE-SEC005-02,KM marker near WFD-BYPL,4,Active
AST0038,DPT001,SEC006,Track,TRA-SEC006-01,KM marker near BYPL-HSRA,4,Active
AST0039,DPT001,SEC006,Track,TRA-SEC006-02,KM marker near BYPL-HSRA,1,Active
AST0040,DPT001,SEC006,Track,TRA-SEC006-03,KM marker near BYPL-HSRA,2,Active
AST0041,DPT002,SEC006,Signal,SIG-SEC006-01,KM marker near BYPL-HSRA,4,Active
AST0042,DPT002,SEC006,Signal,SIG-SEC006-02,KM marker near BYPL-HSRA,5,Active
AST0043,DPT002,SEC006,Signal,SIG-SEC006-03,KM marker near BYPL-HSRA,3,Active
AST0044,DPT003,SEC006,OHE,OHE-SEC006-01,KM marker near BYPL-HSRA,4,Active
AST0045,DPT003,SEC006,OHE,OHE-SEC006-02,KM marker near BYPL-HSRA,5,Active
AST0046,DPT001,SEC007,Track,TRA-SEC007-01,KM marker near HSRA-CAN,4,Active
AST0047,DPT001,SEC007,Track,TRA-SEC007-02,KM marker near HSRA-CAN,3,Active
AST0048,DPT001,SEC007,Track,TRA-SEC007-03,KM marker near HSRA-CAN,4,Active
AST0049,DPT002,SEC007,Signal,SIG-SEC007-01,KM marker near HSRA-CAN,2,Active
AST0050,DPT002,SEC007,Signal,SIG-SEC007-02,KM marker near HSRA-CAN,1,Active
AST0051,DPT003,SEC007,OHE,OHE-SEC007-01,KM marker near HSRA-CAN,2,Active
AST0052,DPT003,SEC007,OHE,OHE-SEC007-02,KM marker near HSRA-CAN,2,Active
AST0053,DPT001,SEC008,Track,TRA-SEC008-01,KM marker near CAN-DRU,1,Active
AST0054,DPT001,SEC008,Track,TRA-SEC008-02,KM marker near CAN-DRU,4,Active
AST0055,DPT002,SEC008,Signal,SIG-SEC008-01,KM marker near CAN-DRU,3,Active
AST0056,DPT002,SEC008,Signal,SIG-SEC008-02,KM marker near CAN-DRU,3,Active
AST0057,DPT003,SEC008,OHE,OHE-SEC008-01,KM marker near CAN-DRU,2,Active
AST0058,DPT003,SEC008,OHE,OHE-SEC008-02,KM marker near CAN-DRU,4,Active
AST0059,DPT001,SEC009,Track,TRA-SEC009-01,KM marker near DRU-MLO,5,Active
AST0060,DPT001,SEC009,Track,TRA-SEC009-02,KM marker near DRU-MLO,5,Active
AST0061,DPT001,SEC009,Track,TRA-SEC009-03,KM marker near DRU-MLO,3,Active
AST0062,DPT002,SEC009,Signal,SIG-SEC009-01,KM marker near DRU-MLO,5,Active
AST0063,DPT002,SEC009,Signal,SIG-SEC009-02,KM marker near DRU-MLO,5,Active
AST0064,DPT003,SEC009,OHE,OHE-SEC009-01,KM marker near DRU-MLO,4,Active
AST0065,DPT003,SEC009,OHE,OHE-SEC009-02,KM marker near DRU-MLO,5,Active
