approval_id,plan_id,plan_version_id,plan_item_id,decision_by_user_id,authority_level,decision,reason,decision_at
APR0001,PLAN001,1,PI0001,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0002,PLAN001,1,PI0002,USR012,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0003,PLAN001,1,PI0003,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0004,PLAN001,1,PI0004,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0005,PLAN001,1,PI0005,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-29T18:00:00
APR0006,PLAN001,1,PI0006,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-07T18:00:00
APR0007,PLAN001,1,PI0007,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-07T18:00:00
APR0008,PLAN001,1,PI0008,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-03T18:00:00
APR0009,PLAN001,1,PI0009,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-05T18:00:00
APR0010,PLAN001,1,PI0010,USR012,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0011,PLAN001,1,PI0011,USR012,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-07T18:00:00
APR0012,PLAN001,1,PI0012,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-06T18:00:00
APR0013,PLAN001,1,PI0013,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0014,PLAN001,1,PI0014,USR012,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-04T18:00:00
APR0015,PLAN001,1,PI0015,USR013,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0016,PLAN001,1,PI0016,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0017,PLAN001,1,PI0017,USR012,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0018,PLAN001,1,PI0018,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-04T18:00:00
APR0019,PLAN001,1,PI0019,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-31T18:00:00
APR0020,PLAN001,1,PI0020,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-01T18:00:00
APR0021,PLAN001,1,PI0021,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0022,PLAN001,1,PI0022,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-06T18:00:00
APR0023,PLAN001,1,PI0023,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-03T18:00:00
APR0024,PLAN001,1,PI0024,USR013,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-07T18:00:00
APR0025,PLAN001,1,PI0025,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0026,PLAN001,1,PI0026,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-07T18:00:00
APR0027,PLAN001,1,PI0027,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-06T18:00:00
APR0028,PLAN001,1,PI0028,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0029,PLAN001,1,PI0029,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-03T18:00:00
APR0030,PLAN001,1,PI0030,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-06T18:00:00
APR0031,PLAN001,1,PI0031,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-04T18:00:00
APR0032,PLAN001,1,PI0032,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
