task_id,submission_id,department_id,source_system_id,corridor_id,asset_id,defect_code,severity_class,reported_date,due_by_date,estimated_duration_minutes,status,description
TASK0001,SUB0001,DPT001,SRC001,SEC002,AST0009,TMS-SLE,Critical,2026-09-02,2026-09-12,180,Open,Sleeper cracking
TASK0002,SUB0002,DPT002,SRC002,SEC002,AST0011,SMMS-INT,Critical,2026-09-03,2026-09-12,360,Open,Interlocking relay fault
TASK0003,SUB0003,DPT001,SRC001,SEC005,AST0032,TMS-TRA,Critical,2026-09-02,2026-09-11,240,Open,Track geometry deviation
TASK0004,SUB0004,DPT002,SRC002,SEC005,AST0034,SMMS-POI,Critical,2026-08-28,2026-09-11,180,Open,Point machine malfunction
TASK0005,SUB0005,DPT001,SRC001,SEC008,AST0053,TMS-SLE,Critical,2026-08-28,2026-09-11,120,Open,Sleeper cracking
TASK0006,SUB0006,DPT002,SRC002,SEC008,AST0056,SMMS-LEV,Critical,2026-09-07,2026-09-11,90,Open,Level crossing signal fault
TASK0007,SUB0007,DPT001,SRC001,SEC003,AST0018,TMS-TRA,Critical,2026-09-02,2026-09-12,240,Open,Track geometry deviation
TASK0008,SUB0008,DPT002,SRC002,SEC003,AST0020,SMMS-SIG,High,2026-09-03,2026-09-12,90,Open,Signal aspect fault
TASK0009,SUB0009,DPT001,SRC001,SEC009,AST0059,TMS-SLE,Low,2026-08-29,2026-10-02,120,Open,Sleeper cracking
TASK0010,SUB0010,DPT001,SRC001,SEC003,AST0016,TMS-BAL,Low,2026-09-07,2026-09-16,360,Open,Ballast deficiency
TASK0011,SUB0011,DPT003,SRC003,SEC003,AST0022,TDMS-INS,Medium,2026-09-06,2026-09-16,180,Open,Insulator flashover mark
TASK0012,SUB0012,DPT001,SRC001,SEC008,AST0053,TMS-TRA,Low,2026-09-07,2026-10-01,360,Open,Track geometry deviation
TASK0013,SUB0013,DPT002,SRC002,SEC009,AST0063,SMMS-SIG,Medium,2026-09-03,2026-09-15,60,Open,Signal aspect fault
TASK0014,SUB0014,DPT001,SRC001,SEC001,AST0001,TMS-RAI,Critical,2026-09-05,2026-09-10,180,Open,Rail fracture (hairline)
TASK0015,SUB0015,DPT002,SRC002,SEC005,AST0033,SMMS-SIG,High,2026-09-02,2026-09-09,90,Open,Signal aspect fault
TASK0016,SUB0016,DPT003,SRC003,SEC009,AST0065,TDMS-MAS,High,2026-09-07,2026-09-10,120,Open,Mast corrosion
TASK0017,SUB0017,DPT001,SRC001,SEC005,AST0031,TMS-FIS,Low,2026-09-06,2026-09-21,180,Open,Fish plate loosening
TASK0018,SUB0018,DPT001,SRC001,SEC002,AST0008,TMS-RAI,Critical,2026-08-28,2026-09-09,90,Open,Rail fracture (hairline)
TASK0019,SUB0019,DPT002,SRC002,SEC003,AST0019,SMMS-CAB,Low,2026-09-04,2026-10-03,120,Open,Cable insulation degradation
TASK0020,SUB0020,DPT003,SRC003,SEC004,AST0029,TDMS-CON,Medium,2026-08-28,2026-09-16,240,Open,Contact wire wear beyond limit
TASK0021,SUB0021,DPT001,SRC001,SEC008,AST0053,TMS-TRA,Low,2026-09-02,2026-09-21,60,Open,Track geometry deviation
TASK0022,SUB0022,DPT001,SRC001,SEC004,AST0025,TMS-TRA,Low,2026-08-28,2026-09-14,60,Open,Track geometry deviation
TASK0023,SUB0023,DPT001,SRC001,SEC001,AST0001,TMS-RAI,High,2026-09-04,2026-09-08,180,Open,Rail wear detected
TASK0024,SUB0024,DPT001,SRC001,SEC004,AST0024,TMS-RAI,Low,2026-08-31,2026-10-02,180,Open,Rail fracture (hairline)
TASK0025,SUB0025,DPT001,SRC001,SEC007,AST0046,TMS-RAI,Low,2026-09-01,2026-09-17,240,Open,Rail fracture (hairline)
TASK0026,SUB0026,DPT001,SRC001,SEC008,AST0054,TMS-RAI,High,2026-08-28,2026-09-08,240,Open,Rail fracture (hairline)
TASK0027,SUB0027,DPT003,SRC003,SEC001,AST0005,TDMS-OHE,Low,2026-09-06,2026-09-24,360,Open,OHE wire sagging
TASK0028,SUB0028,DPT001,SRC001,SEC009,AST0061,TMS-BAL,Low,2026-09-03,2026-09-27,90,Open,Ballast deficiency
TASK0029,SUB0029,DPT002,SRC002,SEC008,AST0056,SMMS-SIG,Medium,2026-08-28,2026-09-11,60,Open,Signal aspect fault
TASK0030,SUB0030,DPT003,SRC003,SEC002,AST0014,TDMS-OHE,High,2026-09-01,2026-09-09,90,Open,OHE wire sagging
TASK0031,SUB0031,DPT002,SRC002,SEC007,AST0050,SMMS-POI,High,2026-09-07,2026-09-09,120,Open,Point machine malfunction
TASK0032,SUB0032,DPT003,SRC003,SEC008,AST0058,TDMS-DRO,Low,2026-08-31,2026-10-01,240,Open,Dropper wear
TASK0033,SUB0033,DPT001,SRC001,SEC004,AST0024,TMS-FIS,Critical,2026-09-02,2026-09-08,240,Open,Fish plate loosening
TASK0034,SUB0034,DPT001,SRC001,SEC008,AST0053,TMS-TRA,Low,2026-09-07,2026-09-30,90,Open,Track geometry deviation
TASK0035,SUB0035,DPT003,SRC003,SEC003,AST0023,TDMS-OHE,Low,2026-09-04,2026-09-16,240,Open,OHE wire sagging
TASK0036,SUB0036,DPT001,SRC001,SEC004,AST0025,TMS-TRA,Low,2026-09-06,2026-09-15,180,Open,Track geometry deviation
TASK0037,SUB0037,DPT001,SRC001,SEC009,AST0060,TMS-TRA,Low,2026-08-28,2026-09-22,90,Open,Track geometry deviation
TASK0038,SUB0038,DPT002,SRC002,SEC005,AST0034,SMMS-POI,Low,2026-09-03,2026-10-05,240,Open,Point machine malfunction
TASK0039,SUB0039,DPT002,SRC002,SEC001,AST0004,SMMS-SIG,Low,2026-09-06,2026-10-02,60,Open,Signal aspect fault
TASK0040,SUB0040,DPT002,SRC002,SEC005,AST0033,SMMS-CAB,Low,2026-09-04,2026-09-25,60,Open,Cable insulation degradation
TASK0041,SUB0041,DPT001,SRC001,SEC008,AST0053,TMS-BAL,High,2026-08-28,2026-09-10,180,Open,Ballast deficiency
TASK0042,SUB0042,DPT002,SRC002,SEC009,AST0062,SMMS-LEV,Low,2026-09-05,2026-10-05,60,Open,Level crossing signal fault
TASK0043,SUB0043,DPT001,SRC001,SEC009,AST0061,TMS-RAI,Low,2026-09-04,2026-09-23,180,Open,Rail wear detected
TASK0044,SUB0044,DPT002,SRC002,SEC005,AST0034,SMMS-POI,Low,2026-09-07,2026-09-22,360,Open,Point machine malfunction
TASK0045,SUB0045,DPT001,SRC001,SEC005,AST0032,TMS-RAI,Low,2026-09-05,2026-09-24,360,Open,Rail fracture (hairline)
TASK0046,SUB0046,DPT002,SRC002,SEC003,AST0020,SMMS-TRA,Medium,2026-09-07,2026-09-16,180,Open,Track circuit failure
TASK0047,SUB0047,DPT001,SRC001,SEC003,AST0018,TMS-SLE,Low,2026-08-30,2026-09-25,180,Open,Sleeper cracking
TASK0048,SUB0048,DPT001,SRC001,SEC001,AST0001,TMS-BAL,Low,2026-09-04,2026-09-15,120,Open,Ballast deficiency
TASK0049,SUB0049,DPT002,SRC002,SEC002,AST0012,SMMS-LEV,Low,2026-09-01,2026-10-01,360,Open,Level crossing signal fault
TASK0050,SUB0050,DPT003,SRC003,SEC003,AST0022,TDMS-CON,High,2026-09-05,2026-09-09,360,Open,Contact wire wear beyond limit
TASK0051,SUB0051,DPT003,SRC003,SEC007,AST0051,TDMS-INS,Low,2026-09-01,2026-09-24,360,Open,Insulator flashover mark
TASK0052,SUB0052,DPT003,SRC003,SEC004,AST0030,TDMS-CON,Low,2026-09-07,2026-09-17,120,Open,Contact wire wear beyond limit
TASK0053,SUB0053,DPT003,SRC003,SEC004,AST0029,TDMS-INS,Medium,2026-09-03,2026-09-17,120,Open,Insulator flashover mark
TASK0054,SUB0054,DPT003,SRC003,SEC004,AST0029,TDMS-INS,Low,2026-09-02,2026-09-20,120,Open,Insulator flashover mark
TASK0055,SUB0055,DPT001,SRC001,SEC005,AST0032,TMS-RAI,Low,2026-08-28,2026-09-30,120,Open,Rail wear detected
TASK0056,SUB0056,DPT003,SRC003,SEC006,AST0044,TDMS-MAS,High,2026-09-05,2026-09-08,120,Open,Mast corrosion
TASK0057,SUB0057,DPT002,SRC002,SEC001,AST0004,SMMS-TRA,Low,2026-09-02,2026-09-27,120,Open,Track circuit failure
TASK0058,SUB0058,DPT001,SRC001,SEC002,AST0009,TMS-TRA,Low,2026-09-03,2026-10-02,90,Open,Track geometry deviation
TASK0059,SUB0059,DPT001,SRC001,SEC001,AST0001,TMS-RAI,Low,2026-08-28,2026-10-01,240,Open,Rail fracture (hairline)
TASK0060,SUB0060,DPT001,SRC001,SEC002,AST0009,TMS-RAI,Critical,2026-09-02,2026-09-10,180,Open,Rail fracture (hairline)
