notification_id,recipient_user_id,entity_type,entity_id,notification_type,message,priority,read_at,created_at
NTF0001,USR001,block_plan_item,PI0001,PLAN_APPROVED,Your submitted task TASK0001 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0002,USR006,block_plan_item,PI0001,PLAN_APPROVED,Your submitted task TASK0002 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0003,USR003,block_plan_item,PI0002,PLAN_APPROVED,Your submitted task TASK0003 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0004,USR006,block_plan_item,PI0002,PLAN_APPROVED,Your submitted task TASK0004 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0005,USR002,block_plan_item,PI0003,PLAN_APPROVED,Your submitted task TASK0005 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0006,USR006,block_plan_item,PI0003,PLAN_APPROVED,Your submitted task TASK0006 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0007,USR006,block_plan_item,PI0003,PLAN_APPROVED,Your submitted task TASK0029 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0008,USR001,block_plan_item,PI0004,PLAN_APPROVED,Your submitted task TASK0007 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0009,USR006,block_plan_item,PI0004,PLAN_APPROVED,Your submitted task TASK0008 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0010,USR001,block_plan_item,PI0005,PLAN_APPROVED,Your submitted task TASK0009 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0011,USR001,block_plan_item,PI0006,PLAN_APPROVED,Your submitted task TASK0010 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0012,USR008,block_plan_item,PI0006,PLAN_APPROVED,Your submitted task TASK0011 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0013,USR007,block_plan_item,PI0006,PLAN_APPROVED,Your submitted task TASK0035 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0014,USR005,block_plan_item,PI0006,PLAN_APPROVED,Your submitted task TASK0046 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0015,USR003,block_plan_item,PI0007,PLAN_APPROVED,Your submitted task TASK0012 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0016,USR007,block_plan_item,PI0007,PLAN_APPROVED,Your submitted task TASK0032 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0017,USR004,block_plan_item,PI0008,PLAN_APPROVED,Your submitted task TASK0013 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0018,USR001,block_plan_item,PI0009,PLAN_APPROVED,Your submitted task TASK0014 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0019,USR006,block_plan_item,PI0010,PLAN_APPROVED,Your submitted task TASK0015 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0020,USR008,block_plan_item,PI0011,PLAN_APPROVED,Your submitted task TASK0016 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0021,USR002,block_plan_item,PI0012,PLAN_APPROVED,Your submitted task TASK0017 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0022,USR003,block_plan_item,PI0013,PLAN_APPROVED,Your submitted task TASK0018 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0023,USR008,block_plan_item,PI0013,PLAN_APPROVED,Your submitted task TASK0030 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0024,USR004,block_plan_item,PI0014,PLAN_APPROVED,Your submitted task TASK0019 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0025,USR007,block_plan_item,PI0015,PLAN_APPROVED,Your submitted task TASK0020 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0026,USR002,block_plan_item,PI0016,PLAN_APPROVED,Your submitted task TASK0021 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0027,USR002,block_plan_item,PI0017,PLAN_APPROVED,Your submitted task TASK0022 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0028,USR002,block_plan_item,PI0018,PLAN_APPROVED,Your submitted task TASK0023 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0029,USR001,block_plan_item,PI0019,PLAN_APPROVED,Your submitted task TASK0024 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0030,USR003,block_plan_item,PI0020,PLAN_APPROVED,Your submitted task TASK0025 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0031,USR003,block_plan_item,PI0021,PLAN_APPROVED,Your submitted task TASK0026 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0032,USR008,block_plan_item,PI0022,PLAN_APPROVED,Your submitted task TASK0027 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0033,USR002,block_plan_item,PI0023,PLAN_APPROVED,Your submitted task TASK0028 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0034,USR005,block_plan_item,PI0024,PLAN_APPROVED,Your submitted task TASK0031 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0035,USR001,block_plan_item,PI0025,PLAN_APPROVED,Your submitted task TASK0033 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0036,USR001,block_plan_item,PI0026,PLAN_APPROVED,Your submitted task TASK0034 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0037,USR002,block_plan_item,PI0027,PLAN_APPROVED,Your submitted task TASK0036 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0038,USR001,block_plan_item,PI0028,PLAN_APPROVED,Your submitted task TASK0037 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0039,USR005,block_plan_item,PI0029,PLAN_APPROVED,Your submitted task TASK0038 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0040,USR004,block_plan_item,PI0030,PLAN_APPROVED,Your submitted task TASK0039 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0041,USR005,block_plan_item,PI0031,PLAN_APPROVED,Your submitted task TASK0040 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0042,USR003,block_plan_item,PI0032,PLAN_APPROVED,Your submitted task TASK0041 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
